instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_nome,estacao_nome,tempo_nome,temp_norm,hum_norm,windspeed_norm
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Sáb,Inverno,Bom tempo,0.22448979591836735,0.81,0.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Sáb,Inverno,Bom tempo,0.20408163265306123,0.8,0.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Sáb,Inverno,Bom tempo,0.20408163265306123,0.8,0.0
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Sáb,Inverno,Bom tempo,0.22448979591836735,0.75,0.0
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Sáb,Inverno,Bom tempo,0.22448979591836735,0.75,0.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Sáb,Inverno,Nublado,0.22448979591836735,0.75,0.10532502644880687
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Sáb,Inverno,Bom tempo,0.20408163265306123,0.8,0.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Sáb,Inverno,Bom tempo,0.1836734693877551,0.86,0.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Sáb,Inverno,Bom tempo,0.22448979591836735,0.75,0.0
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Sáb,Inverno,Bom tempo,0.30612244897959184,0.76,0.0
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Sáb,Inverno,Bom tempo,0.36734693877551017,0.76,0.298224991183731
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Sáb,Inverno,Bom tempo,0.3469387755102041,0.81,0.33337251675091106
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Sáb,Inverno,Bom tempo,0.4081632653061224,0.77,0.33337251675091106
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Sáb,Inverno,Nublado,0.4489795918367347,0.72,0.3508875044081345
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Sáb,Inverno,Nublado,0.4489795918367347,0.72,0.33337251675091106
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Sáb,Inverno,Nublado,0.42857142857142855,0.77,0.3508875044081345
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Sáb,Inverno,Nublado,0.4081632653061224,0.82,0.3508875044081345
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Sáb,Inverno,Nublado,0.42857142857142855,0.82,0.33337251675091106
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Sáb,Inverno,Chuva leve,0.4081632653061224,0.88,0.298224991183731
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Sáb,Inverno,Chuva leve,0.4081632653061224,0.88,0.298224991183731
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Sáb,Inverno,Nublado,0.3877551020408163,0.87,0.298224991183731
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Sáb,Inverno,Nublado,0.3877551020408163,0.87,0.22804749030210417
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Sáb,Inverno,Nublado,0.3877551020408163,0.94,0.2631950158692841
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Sáb,Inverno,Nublado,0.4489795918367347,0.88,0.3508875044081345
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Dom,Inverno,Nublado,0.4489795918367347,0.88,0.3508875044081345
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Dom,Inverno,Nublado,0.42857142857142855,0.94,0.298224991183731
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Dom,Inverno,Nublado,0.4081632653061224,1.0,0.33337251675091106
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Dom,Inverno,Nublado,0.4489795918367347,0.94,0.22804749030210417
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Dom,Inverno,Nublado,0.4489795918367347,0.94,0.22804749030210417
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Dom,Inverno,Chuva leve,0.4081632653061224,0.77,0.3508875044081345
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Dom,Inverno,Nublado,0.3877551020408163,0.76,0.22804749030210417
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Dom,Inverno,Chuva leve,0.3877551020408163,0.71,0.2631950158692841
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Dom,Inverno,Nublado,0.36734693877551017,0.76,0.2631950158692841
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Dom,Inverno,Nublado,0.3469387755102041,0.81,0.2631950158692841
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Dom,Inverno,Nublado,0.3469387755102041,0.71,0.298224991183731
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Dom,Inverno,Nublado,0.3469387755102041,0.66,0.3508875044081345
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Dom,Inverno,Nublado,0.3469387755102041,0.66,0.15786998942047725
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Dom,Inverno,Chuva leve,0.3469387755102041,0.76,0.22804749030210417
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Dom,Inverno,Chuva leve,0.326530612244898,0.81,0.19301751498765723
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Dom,Inverno,Chuva leve,0.326530612244898,0.71,0.19301751498765723
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Dom,Inverno,Bom tempo,0.326530612244898,0.57,0.22804749030210417
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Dom,Inverno,Nublado,0.3469387755102041,0.46,0.38603502997531447
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Dom,Inverno,Bom tempo,0.30612244897959184,0.42,0.5263900317385682
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Dom,Inverno,Bom tempo,0.2857142857142857,0.39,0.42106500528976143
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Dom,Inverno,Bom tempo,0.2448979591836735,0.44,0.38603502997531447
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Dom,Inverno,Bom tempo,0.22448979591836735,0.44,0.3508875044081345
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Dom,Inverno,Bom tempo,0.20408163265306123,0.47,0.19301751498765723
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Seg,Inverno,Bom tempo,0.20408163265306123,0.44,0.42106500528976143
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Seg,Inverno,Bom tempo,0.1836734693877551,0.44,0.49124250617138826
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Seg,Inverno,Bom tempo,0.14285714285714288,0.47,0.45621253085694136
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Seg,Inverno,Bom tempo,0.14285714285714288,0.47,0.33337251675091106
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Seg,Inverno,Bom tempo,0.12244897959183676,0.5,0.45621253085694136
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Seg,Inverno,Bom tempo,0.12244897959183676,0.5,0.22804749030210417
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Seg,Inverno,Bom tempo,0.12244897959183676,0.5,0.33337251675091106
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Seg,Inverno,Bom tempo,0.14285714285714288,0.43,0.45621253085694136
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Seg,Inverno,Bom tempo,0.163265306122449,0.43,0.298224991183731
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Seg,Inverno,Bom tempo,0.1836734693877551,0.4,0.38603502997531447
